target_id	length	eff_length	est_counts	tpm
FBtr0070129	869	683.186	0	0
FBtr0070126	935	749.115	1065.95	114.668
FBtr0070128	913	727.115	0	0
FBtr0070124	1472	1286.04	0	0
FBtr0070127	1050	864.039	547.646	51.076
FBtr0100530	1544	1358.04	56.9765	3.38092
FBtr0345314	826	640.186	239.179	30.107
FBtr0070123	1087	901.039	0	0
FBtr0070125	845	659.186	312.246	38.1716
FBtr0305494	2809	2623.04	0	0
FBtr0070898	1785	1599.04	19	0.957515
FBtr0076372	804	618.186	10	1.30356
FBtr0083376	1088	902.039	109.713	9.80127
FBtr0337064	1216	1030.04	136.802	10.7026
FBtr0333082	779	593.186	0	0
FBtr0333081	1394	1208.04	89.1847	5.94923
FBtr0076896	792	606.186	144.248	19.1758
FBtr0343759	1362	1176.04	0	0
FBtr0070134	1236	1050.04	10	0.767442
FBtr0081133	2859	2673.04	388	11.6971
FBtr0084716	2511	2325.04	0	0
FBtr0333157	812	626.186	0	0
FBtr0073653	818	632.186	129	16.4436
FBtr0310000	4225	4039.04	0	0
FBtr0310001	5111	4925.04	1147.32	18.7727
FBtr0273391	3923	3737.04	0	0
FBtr0079344	4776	4590.04	0	0
FBtr0343867	5007	4821.04	0	0
FBtr0307033	5383	5197.04	1888	29.275
FBtr0344520	3428	3242.04	0	0
FBtr0332869	727	541.186	0	0
FBtr0100555	3231	3045.04	0	0
FBtr0100880	291	120.428	122	81.6361
FBtr0077015	920	734.115	810	88.9144
FBtr0290083	1202	1016.04	13	1.03106
FBtr0334766	1110	924.039	0	0
FBtr0303151	1687	1501.04	0	0
FBtr0087231	1682	1496.04	373.933	20.142
FBtr0087232	1683	1497.04	163.067	8.77777
FBtr0074346	819	633.186	0	0
FBtr0073202	1947	1761.04	352	16.1074
FBtr0332429	472	288.165	0	0
FBtr0070682	696	510.239	305	48.1701
FBtr0087075	1378	1192.04	65	4.39414
FBtr0340004	2017	1831.04	0	0
FBtr0087339	1579	1393.04	87	5.03277
FBtr0290211	640	454.428	0	0
FBtr0344291	631	445.518	387.859	70.1552
FBtr0083632	970	784.039	237.827	24.4441
FBtr0304675	3624	3438.04	0	0
FBtr0076343	4274	4088.04	280	5.51943
FBtr0332249	2849	2663.04	0	0
FBtr0076210	1891	1705.04	657	31.0515
FBtr0333497	2167	1981.04	0	0
FBtr0333500	2649	2463.04	0	0
FBtr0333494	2593	2407.04	0	0
FBtr0333507	2913	2727.04	26.8928	0.794685
FBtr0333496	2039	1853.04	59.1691	2.57313
FBtr0333504	2886	2700.04	282.723	8.43806
FBtr0333509	5560	5374.04	0	0
FBtr0345690	7304	7118.04	0.489449	0.00554113
FBtr0333506	1695	1509.04	18.4051	0.982853
FBtr0333502	4814	4628.04	0	0
FBtr0333495	4814	4628.04	0	0
FBtr0333508	3014	2828.04	0	0
FBtr0333503	3380	3194.04	0	0
FBtr0347552	5074	4888.04	990.844	16.3351
FBtr0333505	3620	3434.04	156.565	3.67402
FBtr0333499	2188	2002.04	0	0
FBtr0333498	2268	2082.04	0	0
FBtr0333501	7545	7359.04	769.749	8.42906
FBtr0333493	5029	4843.04	17.9789	0.299154
FBtr0345689	7646	7460.04	4.18243	0.0451792
FBtr0087085	896	710.186	0	0
FBtr0081328	2231	2045.04	0	0
FBtr0081329	2105	1919.04	0	0
FBtr0081330	2163	1977.04	0	0
FBtr0306234	2310	2124.04	0	0
FBtr0071903	4682	4496.04	134	2.40174
FBtr0306684	5786	5600.04	343	4.93576
FBtr0302596	5705	5519.04	0	0
FBtr0307272	1406	1220.04	793	52.3782
FBtr0071072	1129	943.039	0	0
FBtr0072906	1300	1114.04	4366.75	315.87
FBtr0072908	1414	1228.04	0	0
FBtr0072907	1574	1388.04	41.2522	2.39495
FBtr0072905	1698	1512.04	0	0
FBtr0346727	1248	1062.04	0	0
FBtr0089546	1998	1812.04	0	0
FBtr0089641	4635	4449.04	0	0
FBtr0343159	4518	4332.04	25.1669	0.468154
FBtr0343160	7965	7779.04	1593.83	16.5108
FBtr0308688	3668	3482.04	388.533	8.99176
FBtr0070794	3341	3155.04	137.878	3.52162
FBtr0070795	4509	4323.04	714.765	13.3237
FBtr0308689	3179	2993.04	0	0
FBtr0081243	1196	1010.04	50	3.98917
FBtr0331324	1357	1171.04	0	0
FBtr0074002	2975	2789.04	55.3326	1.59874
FBtr0074001	3696	3510.04	70.7648	1.62464
FBtr0340433	3171	2985.04	30.9026	0.834249
FBtr0070065	2110	1924.04	547	22.91
FBtr0070064	2054	1868.04	0	0
FBtr0084008	1816	1630.04	255	12.6065
FBtr0082924	1843	1657.04	14	0.680842
FBtr0084758	807	621.186	558	72.3875
FBtr0307295	5425	5239.04	2657.2	40.8718
FBtr0307292	5251	5065.04	118.775	1.8897
FBtr0307294	6324	6138.04	51277.6	673.208
FBtr0307293	5425	5239.04	3398	52.2664
FBtr0307291	6331	6145.04	11446.4	150.106
FBtr0070109	5422	5236.04	0	0
FBtr0075346	3145	2959.04	147.434	4.01511
FBtr0333610	2227	2041.04	0	0
FBtr0344183	5389	5203.04	748.484	11.5925
FBtr0344177	3982	3796.04	0	0
FBtr0344180	3939	3753.04	76.4346	1.64119
FBtr0344176	2855	2669.04	776.008	23.4295
FBtr0344184	4895	4709.04	163.614	2.79989
FBtr0344178	5393	5207.04	1679.49	25.9919
FBtr0344182	5562	5376.04	124.301	1.86322
FBtr0344181	3939	3753.04	76.4346	1.64119
FBtr0344179	4331	4145.04	392.053	7.62196
FBtr0333909	1095	909.039	0	0
FBtr0076548	1113	927.039	0	0
FBtr0299561	856	670.186	0	0
FBtr0299560	845	659.186	0	0
FBtr0331686	579	394.063	0	0
FBtr0083328	569	384.141	0	0
FBtr0331685	518	333.386	7	1.692
FBtr0334332	2186	2000.04	0	0
FBtr0081934	2064	1878.04	485	20.8108
FBtr0110941	5141	4955.04	532	8.65198
FBtr0300996	1589	1403.04	0	0
FBtr0080693	730	544.186	331	49.0153
FBtr0290134	10901	10715	1507	11.3337
FBtr0113233	663	477.336	0	0
FBtr0070445	1280	1094.04	0	0
FBtr0307159	1798	1612.04	203	10.1478
FBtr0336953	1755	1569.04	0	0
