target_id	length	eff_length	est_counts	tpm
FBtr0070129	869	724.853	0	0
FBtr0070126	935	790.853	224.921	29.2055
FBtr0070128	913	768.853	0	0
FBtr0070124	1472	1327.85	0	0
FBtr0070127	1050	905.853	52.5718	5.95971
FBtr0100530	1544	1399.85	33.1441	2.43139
FBtr0345314	826	681.853	392.041	59.0432
FBtr0070123	1087	942.853	0	0
FBtr0070125	845	700.853	221.322	32.4285
FBtr0305494	2809	2664.85	60	2.31211
FBtr0070898	1785	1640.85	0	0
FBtr0076372	804	659.853	0	0
FBtr0083376	1088	943.853	34.5273	3.75654
FBtr0337064	1216	1071.85	0	0
FBtr0333082	779	634.916	49.662	8.03225
FBtr0333081	1394	1249.85	156.179	12.832
FBtr0076896	792	647.853	0	0
FBtr0343759	1362	1217.85	26.9819	2.27514
FBtr0070134	1236	1091.85	20.0181	1.88273
FBtr0081133	2859	2714.85	82	3.10168
FBtr0084716	2511	2366.85	0	0
FBtr0333157	812	667.853	0	0
FBtr0073653	818	673.853	271	41.2985
FBtr0310000	4225	4080.85	0	0
FBtr0310001	5111	4966.85	1067.22	22.0649
FBtr0273391	3923	3778.85	0	0
FBtr0079344	4776	4631.85	0	0
FBtr0343867	5007	4862.85	46.465	0.981217
FBtr0307033	5383	5238.85	1791.53	35.1171
FBtr0344520	3428	3283.85	0	0
FBtr0332869	727	582.979	0	0
FBtr0100555	3231	3086.85	9	0.299403
FBtr0100880	291	148.055	663	459.856
FBtr0077015	920	775.853	793	104.96
FBtr0290083	1202	1057.85	20	1.94149
FBtr0334766	1110	965.853	0	0
FBtr0303151	1687	1542.85	0	0
FBtr0087231	1682	1537.85	305.908	20.4271
FBtr0087232	1683	1538.85	136.092	9.08164
FBtr0074346	819	674.853	0	0
FBtr0073202	1947	1802.85	455	25.9168
FBtr0332429	472	328.148	0	0
FBtr0070682	696	552.148	268	49.8435
FBtr0087075	1378	1233.85	83	6.90788
FBtr0340004	2017	1872.85	4.05311	0.222236
FBtr0087339	1579	1434.85	0	0
FBtr0290211	640	496.148	9.53847e-008	1.97423e-008
